Parameter,Value
11363.984442015419,4.911720298173643
11414.960014259888,4.86579612828362
11465.04023326422,4.747843152575319
11516.025759337863,4.683208537653516
11567.96340911368,4.5293077532358925
11618.021120437368,4.442666065788269
11669.006165221148,4.4258089436253005
11719.046593004263,4.324151380664454
11769.95962058081,4.275405529133421
11821.01617656894,4.2047898107965604
11871.959699108978,4.043012208975613
11922.982318271943,4.012403931131916
11973.036223140885,3.894814488998423
12023.971808774537,3.8445187263687344
12075.016690395705,3.8184073261388543
12125.99836956331,3.6829868493398834
12176.02271478744,3.6020550013089956
12227.000815935664,3.576075682836189
12277.042165012132,3.5111063004572745
12329.008868993797,3.4878693763072
12380.022996336013,3.4302682158537143
12430.020147906027,3.3607896085830675
12481.027181588035,3.219001293932336
12531.017152753413,3.157132320882715
12581.964603612088,3.1013164690985393
12632.982493572154,3.066729120361389
12684.0283824247,2.989812399649409
12734.96950080872,2.933707385371508
12785.025195116268,2.902176116600944
12836.046530562875,2.843836626143868
12886.981557123194,2.7947520523473868
12938.002943532332,2.776627632916525
12988.017190703395,2.6905331156257892
13039.027827988653,2.7010454427706896
13090.005566657763,2.5642084135640664
13141.001801386949,2.6161114724990235
13192.022610831362,2.5199729941944806
13242.029106141816,2.426842381715995
13292.99238364943,2.46499848597901
13343.012002074565,2.4309624622430013
13393.974286659146,2.31011856335964
13444.977625922607,2.3092953600337554
13495.953935837151,2.22166474980065
13546.98204547253,2.252002474119516
13597.02542903518,2.2136400458156067
13647.999189470109,2.099508503581523
13698.987822930347,2.082272550711615
13750.019062490645,2.0618327323658234
13799.977846259015,1.993968435770351
13851.039939768169,1.9309542845914618
13902.004146190427,1.940960157590736
13953.046309917618,1.8610709506116065
14003.959443217607,1.872375923904233
14054.037090015743,1.8324723102341098
14105.04929734758,1.7641885963143904
14155.039057053844,1.7836591500581833
14206.979430647685,1.7552051879572554
14257.96325752039,1.6975794309109755
14307.975782665948,1.6738694495735569
14358.971202295312,1.6216418755763244
14408.985829285517,1.6391181432896555
14460.007771197877,1.6341377816230729
14510.982201386792,1.5802683264167516
14561.951620838734,1.5408281332473461
14611.972161103558,1.4899259608220532
14662.973429353377,1.5151575245694484
14714.020189572688,1.4672365118254638
14765.032542585725,1.3849017472492826
14815.983459044339,1.3823926148632968
14865.968638142433,1.4175853972819448
14917.029968339755,1.3938846188245846
14967.014301406327,1.2811857827264694
15019.043301404054,1.3155785674483331
15069.954367638718,1.2319388784570005
15120.035553922069,1.2485714076145138
15170.962850110633,1.228694749831776
15221.019409855877,1.2494881155426472
15273.022596403953,1.1717049098980652
15322.951694458594,1.1838695581530037
15373.954248437536,1.199021203036247
15424.997391430941,1.1028475361666787
15474.952277429506,1.0687374881848248
15525.995383322506,1.0989344716081562
15577.049823045892,1.093450520983066
15627.958082362316,1.0445195091352646
15678.036540212612,1.0204727548637864
15728.975909647219,1.017445413167383
15779.027500436043,0.9785993381162663
15831.017259377448,0.9273763449812824
15881.985462624018,0.9867609152668262
15931.95014996601,0.8934754129427203
15982.974164568332,0.9572995304563918
16032.983702944415,0.9131160791457632
16084.954314354161,0.8975074761550164
16135.04341847433,0.895879091192745
16185.983716356972,0.8428274881060169
16235.952876290534,0.8487862951487456
16286.990630705992,0.7928044504907378
16337.972353777672,0.7873356468281706
16388.95865803175,0.7501825204366364
16440.001022562017,0.825795895333496
16490.047893419392,0.7968980670762937
16541.029345190906,0.7646103015308302
16590.98484050423,0.7287307724916295
16642.956190450128,0.7776553056058557
16693.039511816718,0.7288691355732346
16743.956236335882,0.6905645582567385
16794.975588706344,0.6808815727288855
16845.03956039253,0.7105749131520526
16897.047844679295,0.6285426222958018
16947.036609487495,0.6788521920686247
16998.01703316925,0.6054030027274532
17047.975629932178,0.648771144111762
17098.986908386087,0.6665830227130416
17148.956719897047,0.6117877187905838
17201.032111199456,0.6008473454419702
17251.98281054639,0.5692280411824043
17302.04794795873,0.5777260375171392
17353.009852763178,0.5661468838039376
17402.969813773838,0.6052084103887118
17454.961914692925,0.5776067041846639
17504.9898667403,0.5550656814380571
17555.996436845267,0.5222001100971645
17606.00042525812,0.5166802899505585
17657.031117800267,0.5382578863938663
17708.9663703113,0.5388741329614851
17758.98093872564,0.48740356241037264
17810.033622714836,0.47976791363483934
17859.962551530527,0.4373729378604847
17911.012358623786,0.42238815206193003
17962.013088689662,0.45374509465715646
18013.003131175763,0.47579890687308024
18063.03976309868,0.4366671517889312
18113.974126484696,0.4638411505326124
18165.036683442355,0.4116471702663829
18215.000468689985,0.430505785642411
18267.003682786046,0.4118223543631849
18316.995219137858,0.39615317952688206
18368.016453563872,0.3908957341928219
18418.037834209692,0.38786466731349917
18468.95262550538,0.4251518298813369
18520.047872078492,0.3711205128732834
18571.0313700985,0.35899971580329865
18622.01205474892,0.3277598433106719
18671.95735753367,0.36266193917268047
18722.95935212179,0.3879295674255841
18773.974118705355,0.34510019619153187
18824.988271984752,0.37322795448568724
18874.978364862323,0.3445296029564773
18926.013310060964,0.33555146471429753
18975.97301310752,0.34879814833412737
19028.048971717642,0.27243550667203303
19078.97592151367,0.298374890193348
19128.966402703827,0.29839498353585664
19179.979120020424,0.29474959758019287
19230.030709940864,0.251372485493737
19281.008911474913,0.3196535657811255
19332.043142081486,0.30742704898051204
19383.00272700139,0.30267804836386913
19433.98218703575,0.27461436169159037
19484.003056853588,0.2508492876705802
19535.047730151484,0.2892475440102614
19585.999540561406,0.27977882352464234
19637.045869262227,0.25521648871826896
19687.0150188201,0.232136874696745
19738.049149441635,0.20905940777485243
19788.02016748634,0.19370507723957386
19840.01657272169,0.19564923923110433
19890.96565623048,0.20843886782735263
19940.9831241078,0.2557578371999282
19991.97050886664,0.23644492120921923
20042.02826266568,0.20245216662575954
20092.961795980333,0.17759241636606637
20144.002905069083,0.203176776385066
20194.953150673653,0.2638543483541216
20245.029716944064,0.21864455558090207
20295.984345169054,0.15518185217757682
20347.01855212906,0.24223535619013287
20398.004740042208,0.1560216059463232
20448.966671967686,0.1669806886485392
20498.955545849978,0.1848076858857548
20549.957152444607,0.20588870145029553
20599.96580065188,0.19007436515557363
20651.994561443094,0.22892253752020425
20702.01320649108,0.16336030572989413
20753.04380583225,0.12315464630513684
20803.957846036363,0.14377555372938253
20854.014916915658,0.12263591445277225
20906.04914631858,0.15337674481944014
